Textbox151,Textbox8,InventLocationId1,InventLocationName,Textbox153,Textbox45,Textbox46,Textbox47,Textbox63,Textbox48,Textbox90,Textbox104,Textbox131,CustAccount,CustName,LogisticsAddressStreet,LogisticsAddressZipCodeId,LogisticsAddressCity,LogisticsAddressCountryRegionId,SalesId,CustomerRef,CarrierName,Textbox41,Textbox70,Textbox42,Textbox43,Textbox64,Textbox118,Textbox44,Textbox123,Textbox92,Textbox128,Textbox114,Textbox133,SalesOriginId,ItemId,ItemName1,DlvDate1,SalesQty,RemainSalesPhysical,InventQtyPicked,InventQtyPickRemain,toProcessQty,InventQtyOnHand,PickingListId,ToProcess
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1681,ACS Door Services new address,1/3 Brooke Court,3337,Melton,AUS,SO044206,15838,TNT,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,PCR43301RE,Penta Receiver 1 Ch Standalone,2024-04-11,5,3,0,3,0,0,83692_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1699,All Door Solutions Pty Ltd,7 Monte-Khoury Drive,4129,Loganholme,AUS,SO044102,PO70028,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,CA0177A00,Motor-control unit 5m connection cable medium/big,2024-04-29,1,1,0,1,0,0,83539_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1699,All Door Solutions Pty Ltd,7 Monte-Khoury Drive,4129,Loganholme,AUS,SO044102,PO70028,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,NDCC1000,D-PRO Automatic 3-400 2.2kW 3DT IP65 CEE,2024-04-29,1,1,0,1,1,0,83540_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1699,All Door Solutions Pty Ltd,7 Monte-Khoury Drive,4129,Loganholme,AUS,SO044102,PO70028,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,NDA502,Motor hole shaft adapter from 40 to 30mm,2024-04-29,1,1,0,1,0,0,83541_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1768,Northern Window Shutters,14A Yellowbox Drive,3064,CRAIGIEBURN,AUS,SO043467,May Order,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ERM15000000/M,"Era M 15Nm 17rpm 230/50 2,5m Pack1 +MOL4",2024-05-01,150,150,0,150,150,10,83092_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1768,Northern Window Shutters,14A Yellowbox Drive,3064,CRAIGIEBURN,AUS,SO043467,May Order,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,535.10012,Bracket 100x100/standard sides for Era tubular motors,2024-05-01,150,150,0,150,150,331,83093_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1768,Northern Window Shutters,14A Yellowbox Drive,3064,CRAIGIEBURN,AUS,SO043467,May Order,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,515.06000R01,Octagonal adapter 60x(0.6÷1) wheel + crown,2024-05-01,150,150,0,150,150,142,83094_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1768,Northern Window Shutters,14A Yellowbox Drive,3064,CRAIGIEBURN,AUS,SO043468,June Order,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ERM15000000/M,"Era M 15Nm 17rpm 230/50 2,5m Pack1 +MOL4",2024-06-03,150,150,0,150,150,10,83095_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1768,Northern Window Shutters,14A Yellowbox Drive,3064,CRAIGIEBURN,AUS,SO043468,June Order,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,535.10012,Bracket 100x100/standard sides for Era tubular motors,2024-06-03,150,150,0,150,150,331,83096_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1768,Northern Window Shutters,14A Yellowbox Drive,3064,CRAIGIEBURN,AUS,SO043468,June Order,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,515.06000R01,Octagonal adapter 60x(0.6÷1) wheel + crown,2024-06-03,150,150,0,150,150,142,83097_099,Yes
